Original_Content,Preprocessed_Content
"Hallo. Ini kenapa situs kalender menstruasi tidak bisa kebuka yaa? Kalau open semuanya bisa, kecuali kalender menstruasi nya. Ini ada yg salah dari aplikasi nya atau hp saya?",hallo  ini kenapa situs kalender menstruasi tidak bisa kebuka yaa  kalau open semuanya bisa  kecuali kalender menstruasi nya  ini ada yg salah dari aplikasi nya atau hp saya 
"Pesanan yang sudah dibayar tidak ada dihistori pemesanan, tidak bisa cek tracking ordernya, pembatalan juga dipersulit",pesanan yang sudah dibayar tidak ada dihistori pemesanan  tidak bisa cek tracking ordernya  pembatalan juga dipersulit
"HP gw ROG 7 ram 8/256, tapi di buat hang cuma gegara ni aplikasi halodoc pas gw belanja obat terus pas mo bayar ternyata gw butuh nambah item, sampe 3x gw nyoba, 3x juga gw hrs restart HP.. Kocak beud IT nya ngapain si..",hp gw rog   ram      tapi di buat hang cuma gegara ni aplikasi halodoc pas gw belanja obat terus pas mo bayar ternyata gw butuh nambah item  sampe  x gw nyoba   x juga gw hrs restart hp   kocak beud it nya ngapain si  
"aneh dokternya, udah di chat panjang lebar baru nanya keluhannya udah di read juga tp dikasih catatan katanya masalah koneksi, sesi chat udah di akhiri sm dokter. harus bayar ulang kan akhirnya",aneh dokternya  udah di chat panjang lebar baru nanya keluhannya udah di read juga tp dikasih catatan katanya masalah koneksi  sesi chat udah di akhiri sm dokter  harus bayar ulang kan akhirnya
"buruk sekali bagian Customer Service melayani keluhan pelanggan, sudah 3x lapor tidak ada penyelesaiannya, sudah uang hilang buruknya pelayanaan dari halodoc bikin kesal ID ticket 3572004, 3567953, 3567899 silahkan di cek kalau memang disini kalian bisa cek.",buruk sekali bagian customer service melayani keluhan pelanggan  sudah  x lapor tidak ada penyelesaiannya  sudah uang hilang buruknya pelayanaan dari halodoc bikin kesal id ticket         silahkan di cek kalau memang disini kalian bisa cek 
Layanan pengiriman buruk. Konsultasinya okey tp pengirimannya lelet sekali buruk. Pesan dari jam 4 sampe jam 6 sore baru otw. Harusnya langsung ada pilihan apotek mana yg terdekat lalu dihubungkan dg aplikasi Lalu order langsung. Cuma beli obat nunggunya lama sekali,layanan pengiriman buruk  konsultasinya okey tp pengirimannya lelet sekali buruk  pesan dari jam   sampe jam   sore baru otw  harusnya langsung ada pilihan apotek mana yg terdekat lalu dihubungkan dg aplikasi lalu order langsung  cuma beli obat nunggunya lama sekali
"Apaan ni aplikasi, beli obat sudah 4 hari kagak nyampe nyampe, janji tgl 10 Oktober 2023, ni udah tgl 11 Oktober 2023 belum juga ada kabar....kecewa kami jadi konsumen",apaan ni aplikasi  beli obat sudah   hari kagak nyampe nyampe  janji tgl   oktober    ni udah tgl   oktober   belum juga ada kabar    kecewa kami jadi konsumen
"Bener kata yang lain, pengirimannya buruk banget. Pake instan sudah 1 jam lebih ngga ada info sama sekali.",bener kata yang lain  pengirimannya buruk banget  pake instan sudah   jam lebih ngga ada info sama sekali 
"Ketarangannya dokter sedang online, sy sudah bayar untuk konsultasi tetap ketika selesai pembayaran muncul notif dokter sedang sibuk uang akan di kembali kan 4 sampai 5 hari kerja. Gmna sih, seharus nya kalau gk bisa langsung di kembalikan uang nya biar bisa konsultasi ke dokter lain nya!",ketarangannya dokter sedang online  sy sudah bayar untuk konsultasi tetap ketika selesai pembayaran muncul notif dokter sedang sibuk uang akan di kembali kan   sampai   hari kerja  gmna sih  seharus nya kalau gk bisa langsung di kembalikan uang nya biar bisa konsultasi ke dokter lain nya 
Inilah yg meresah para gojek gosend setiap ambilannya jauh 5 kilo terus barangnya suka banget tidak update dari harga dan stoknya terus juga buang waktu setiap kita ke apotek berapk halodoc itupun kalo sampai masih nunggu dulu barangnya dicariin tdk langsung ready ketika driver datang terus juga ongkos kita terima dari nunggu lama gara gara gosend halodoc cuma Rp.8.000 belum sama parkir Rp.2.000/Rp.3.000,inilah yg meresah para gojek gosend setiap ambilannya jauh   kilo terus barangnya suka banget tidak update dari harga dan stoknya terus juga buang waktu setiap kita ke apotek berapk halodoc itupun kalo sampai masih nunggu dulu barangnya dicariin tdk langsung ready ketika driver datang terus juga ongkos kita terima dari nunggu lama gara gara gosend halodoc cuma rp     belum sama parkir rp     rp    
"Sambungin ke pembayaran nggak berhasil terus, perbaiki aplikasi sebelum launching",sambungin ke pembayaran nggak berhasil terus  perbaiki aplikasi sebelum launching
"Mau beli obat flu sudah bayar chat dokter, sudah pula uang ditransfer via virtual account bca, pesanan batal uang katanya blm diterima padahal jelas dimutasi sdh terdebit Jauuuh lebih mudah beli obat pake grab Ribet Mahal dan mengecewakan Sudah kirim email screen capture bukti pembayaran dan telpon ke cs nya disuruh tunggu 24 jam ... lah lebih cepet saya beli sendiri ke apotek besok toh saya sendiri juga dokter, tapi karena malam hari jam setengah 8 pm maka saya pesan di halodoc...",mau beli obat flu sudah bayar chat dokter  sudah pula uang ditransfer via virtual account bca  pesanan batal uang katanya blm diterima padahal jelas dimutasi sdh terdebit jauuuh lebih mudah beli obat pake grab ribet mahal dan mengecewakan sudah kirim email screen capture bukti pembayaran dan telpon ke cs nya disuruh tunggu   jam     lah lebih cepet saya beli sendiri ke apotek besok toh saya sendiri juga dokter  tapi karena malam hari jam setengah   pm maka saya pesan di halodoc   
"Sering sekali ketika konsul langsung loading lama, alasan tidak ada koneksi padahal aplikasi lain lancar jaya dan saya pastikan wifi maupun internet tidak ada masalah. Alhasil sesi konsul sudah habis waktunya, saldo sudah dipotong, dan harus konsul+bayar ulang. Mengecewakan.",sering sekali ketika konsul langsung loading lama  alasan tidak ada koneksi padahal aplikasi lain lancar jaya dan saya pastikan wifi maupun internet tidak ada masalah  alhasil sesi konsul sudah habis waktunya  saldo sudah dipotong  dan harus konsul bayar ulang  mengecewakan 
"Aplikasi pengingat obatnya tidak selengkap iOS, sangat tidak bisa dipakai karena notifikasi harus 3x, padahal diresepnya hanya perlu sekali. Tolong dikembangkan seperti iOS, bisa set durasi juga.",aplikasi pengingat obatnya tidak selengkap ios  sangat tidak bisa dipakai karena notifikasi harus  x  padahal diresepnya hanya perlu sekali  tolong dikembangkan seperti ios  bisa set durasi juga 
"Pesan dini hari jam 3 berharap langsung dianterin cepet, malah driver tidak bisa dihubungi dan alhasil udah nunggu 90 menit masih belum ada kabar. Harga tertera di App. Dan di Apotek juga berbeda karena setelah melakukan pembayaran pihak Apotek telfon untuk menginformasikan perbedaan harga dan suruh bayar lagi untuk kekurangannya. Kalo bisa untuk komunikasi ke berbagai pihak (Driver ataupun CS) jangan menggunakan pulsa, udah beli obat mahal driver susah dihubungi, mau laporan harus ongkos Pulsa.",pesan dini hari jam   berharap langsung dianterin cepet  malah driver tidak bisa dihubungi dan alhasil udah nunggu   menit masih belum ada kabar  harga tertera di app  dan di apotek juga berbeda karena setelah melakukan pembayaran pihak apotek telfon untuk menginformasikan perbedaan harga dan suruh bayar lagi untuk kekurangannya  kalo bisa untuk komunikasi ke berbagai pihak  driver ataupun cs  jangan menggunakan pulsa  udah beli obat mahal driver susah dihubungi  mau laporan harus ongkos pulsa 
"kirain konsultasi di halodoc gratis trnyata bayarr,,, agak kecewaa seharusnya halodoc bisa sangat meringankan beban masyarakat kecil,, ini malah nambah nambahin",kirain konsultasi di halodoc gratis trnyata bayarr    agak kecewaa seharusnya halodoc bisa sangat meringankan beban masyarakat kecil   ini malah nambah nambahin
"gw pesen obat udh lama² nungguin dikirim , giliran udh sampe , pesanan gw sampe kemna ha? alamat dah bener detailny jg udh bener , barang blm smpe keteranganny udh diterima",gw pesen obat udh lama² nungguin dikirim   giliran udh sampe   pesanan gw sampe kemna ha  alamat dah bener detailny jg udh bener   barang blm smpe keteranganny udh diterima
Pas login malah gak bisa di klik sama sekali tolong penjelasannya,pas login malah gak bisa di klik sama sekali tolong penjelasannya
"Sudah aq uninstall aplikasi nya, soalnya waktu buat janji, ternyata tidak realtime, konfirmasinya lama, malah hasil janji nya di suruh buat janji ulang, capede",sudah aq uninstall aplikasi nya  soalnya waktu buat janji  ternyata tidak realtime  konfirmasinya lama  malah hasil janji nya di suruh buat janji ulang  capede
"Pesanan dibatalkan sepihak tanpa alasan jelas.Udah susah -susah apply kode pengguna baru,eh malah batal begitu saja.Aplikasi kesehatan yg notabene sampah doang.Jangan mau download,mending pilih aplikasi lain yang lebih jelas promonya.",pesanan dibatalkan sepihak tanpa alasan jelas udah susah  susah apply kode pengguna baru eh malah batal begitu saja aplikasi kesehatan yg notabene sampah doang jangan mau download mending pilih aplikasi lain yang lebih jelas promonya 
"Ini untuk lokasinya tidak akurat, saya tinggal di banten tapi rekomendasi rumah sakit terdekat malah di ada di bekasi",ini untuk lokasinya tidak akurat  saya tinggal di banten tapi rekomendasi rumah sakit terdekat malah di ada di bekasi
"Barang belum sampai tapi d aplikasi riwayat transaksi sudah d terima, tolong kurirnya d edukasi dalam pengantaran tidak ada komunikasi dari kurir , bukti penerimaan juga tidak ada",barang belum sampai tapi d aplikasi riwayat transaksi sudah d terima  tolong kurirnya d edukasi dalam pengantaran tidak ada komunikasi dari kurir   bukti penerimaan juga tidak ada
"Pesan dari hari kamis, sudah terkonfirmasi dan berhasil dan tertulis pesan akan sampai dihari minggu eh malah dihari sabtunya di batalkan Kecewa banget, memang sih dana dikembalikan tapi rasa kecewa tetap ada!",pesan dari hari kamis  sudah terkonfirmasi dan berhasil dan tertulis pesan akan sampai dihari minggu eh malah dihari sabtunya di batalkan kecewa banget  memang sih dana dikembalikan tapi rasa kecewa tetap ada 
"Pengembalian refund dana sangat lama 14 hari kerja, padahal zaman skrng mudah.. Kenapa gk di masukin saldo halodoc saja terus bisa di tarik.. Seperti app lainya..",pengembalian refund dana sangat lama   hari kerja  padahal zaman skrng mudah   kenapa gk di masukin saldo halodoc saja terus bisa di tarik   seperti app lainya  
"Jawaban yg di dapat hanya bersifat basabasi,kurang membantu bukan psikolog pun juga bisa menjawab seperti itu, untuk psikolog kurang ok sudah cerita banyak tapi seperti tidak dibaca",jawaban yg di dapat hanya bersifat basabasi kurang membantu bukan psikolog pun juga bisa menjawab seperti itu  untuk psikolog kurang ok sudah cerita banyak tapi seperti tidak dibaca
"Install karena di mintain tolong sama sales halodoc yang bikin eveht di kampus, katanya dapet produk harga 30rb jadi 5rb. Sudah di order malah 2 hari kemudian di cancel halodoc, pas di order lagi udah ga promo wkwk. Temen2 juga pada ke cancek katanya wkwk. Bukan masalah duitnya tapi cara nyari orang buat install aplikasinya kocak wkwk",install karena di mintain tolong sama sales halodoc yang bikin eveht di kampus  katanya dapet produk harga  rb jadi  rb  sudah di order malah   hari kemudian di cancel halodoc  pas di order lagi udah ga promo wkwk  temen  juga pada ke cancek katanya wkwk  bukan masalah duitnya tapi cara nyari orang buat install aplikasinya kocak wkwk
Saya pesan gak bisa pilih apotik. Malah apotik pilihan aplikasi nya tutup. Saya uda kna asam lambung tengah malam drivernya cxl trs. Aplikasi gk guna. Mau di cxl pesanan obatnya malah gk bisa,saya pesan gak bisa pilih apotik  malah apotik pilihan aplikasi nya tutup  saya uda kna asam lambung tengah malam drivernya cxl trs  aplikasi gk guna  mau di cxl pesanan obatnya malah gk bisa
"Apotik udah pada tutup pesanan tetap di Terima akhirnya obat ga nyampe saya terus terusan ngejawabin driver baru malah jadi gabisa istirahat, anak jadi ga minum obat, di cancel sulit, malah menyusahkan",apotik udah pada tutup pesanan tetap di terima akhirnya obat ga nyampe saya terus terusan ngejawabin driver baru malah jadi gabisa istirahat  anak jadi ga minum obat  di cancel sulit  malah menyusahkan
Kenapa pembayaran melalui dana tidak bisa? Dan tidak bisa top up saldo halodoc melalu m banking. Sangat menyulitkan saya untuk bertransaksi. Tolong perbaiki,kenapa pembayaran melalui dana tidak bisa  dan tidak bisa top up saldo halodoc melalu m banking  sangat menyulitkan saya untuk bertransaksi  tolong perbaiki
"Untuk pelayanan dokter baik tidak ada masalah, tapi untuk pemesanan obatnya sangat bermasalah. Saya nunggu dari malam sampai pagi karna berpikir malam apotek yg menerima resep sudah tutup jam operasional, ini sampai pagi belum ada kemajuan respon. Diaplikasi status ada driver yg sudah ditugaskan tapi ketika live tracking tidak ada, alias di cancel oleh driver. Tidak ada info apotek mana yg menerima resep jadi susah mau hubungi kemana",untuk pelayanan dokter baik tidak ada masalah  tapi untuk pemesanan obatnya sangat bermasalah  saya nunggu dari malam sampai pagi karna berpikir malam apotek yg menerima resep sudah tutup jam operasional  ini sampai pagi belum ada kemajuan respon  diaplikasi status ada driver yg sudah ditugaskan tapi ketika live tracking tidak ada  alias di cancel oleh driver  tidak ada info apotek mana yg menerima resep jadi susah mau hubungi kemana
Nyoba aplikasi ini sama aplikasi al**ok. Konsultasi apapun jawabannya pasti cuma saran2 yang di google pun udah ada. Sisanya di suruh datang ke dokter terdekat. Heraan buat apa bayar gaada jawaban tidak memuaskan.,nyoba aplikasi ini sama aplikasi al  ok  konsultasi apapun jawabannya pasti cuma saran  yang di google pun udah ada  sisanya di suruh datang ke dokter terdekat  heraan buat apa bayar gaada jawaban tidak memuaskan 
"BURUK ! heidy cek sistem lama kita nunggu gpp , tapi kalau mereka nunggu ga nyampe 5menit chat berakhir ulang lg chat dr awal !! verif lagi !! pake asuransi tapi kita juga yg urus ke rs masalah claim kebijakan dll ! emang ga punya team claim ?! cr yg berpengalaman !! yg kompeten !! krn bidang kesehatan itu bersifat URGENT !! SUMPAH GA AKAN PERNAH REKOMENDASI UNTUK ASURANSI NYA keburu mati org",buruk   heidy cek sistem lama kita nunggu gpp   tapi kalau mereka nunggu ga nyampe  menit chat berakhir ulang lg chat dr awal    verif lagi    pake asuransi tapi kita juga yg urus ke rs masalah claim kebijakan dll   emang ga punya team claim    cr yg berpengalaman    yg kompeten    krn bidang kesehatan itu bersifat urgent    sumpah ga akan pernah rekomendasi untuk asuransi nya keburu mati org
"sumpah, ribet banget ini app. mau beli obatnya ribet, estimasi berubah mulu tibatiba yg 60 menit nyampe kaga ada, pokonya ribet.",sumpah  ribet banget ini app  mau beli obatnya ribet  estimasi berubah mulu tibatiba yg   menit nyampe kaga ada  pokonya ribet 
"Sampai pukul 04.41 obat saya tidak kunjung datang. Padahal harusnya tiba pukul 01.23 Yg dikirim berurusan dengan kesehatan dan nyawa, tidak ada respon nyata dari halodoc , udh buat laporan ke email, virtual assistan sama aja. Payah. Udh bayar lagi, ga seberapa uang nya cuman mungkin bisa ya tetap di jaga tanggung jawab dan etika kerjanya.",sampai pukul     obat saya tidak kunjung datang  padahal harusnya tiba pukul     yg dikirim berurusan dengan kesehatan dan nyawa  tidak ada respon nyata dari halodoc   udh buat laporan ke email  virtual assistan sama aja  payah  udh bayar lagi  ga seberapa uang nya cuman mungkin bisa ya tetap di jaga tanggung jawab dan etika kerjanya 
"Kirim obat udah nunggu 3 jam alhasil di cancel otomatis, pesen ulang malah dapet driver yang ngaco. Percuma pesen instan, jika obat keperluan pasien tidak terpenuhi. Coba lebih di perhatikan dan di tingkatkan kembali layanan nya",kirim obat udah nunggu   jam alhasil di cancel otomatis  pesen ulang malah dapet driver yang ngaco  percuma pesen instan  jika obat keperluan pasien tidak terpenuhi  coba lebih di perhatikan dan di tingkatkan kembali layanan nya
"Aplikasi asuuu, masak iya harus nunggu 1 abad resep obatnya baru dateng, mana mau ngebatalin juga ga bisaa, emang di sengaja gituu, mau ngehubungin driver atau apotiknya aja ga bisa, klo sana yg ngehubungin baru bisa, mana pakek pulsa lagi, dari pihak apotik klo gak niat di serahin tugas ga usah di terima, jadinya ya kayak gini, customer suruh nunggu berjam-jam padahal pembeli adalah raja/ratu. Sudah 2x sayya order tapi tetep sama. Pembaruan elanjutnya kami minta pembayaran via COD. ngtd 🖕🏻",aplikasi asuuu  masak iya harus nunggu   abad resep obatnya baru dateng  mana mau ngebatalin juga ga bisaa  emang di sengaja gituu  mau ngehubungin driver atau apotiknya aja ga bisa  klo sana yg ngehubungin baru bisa  mana pakek pulsa lagi  dari pihak apotik klo gak niat di serahin tugas ga usah di terima  jadinya ya kayak gini  customer suruh nunggu berjam jam padahal pembeli adalah raja ratu  sudah  x sayya order tapi tetep sama  pembaruan elanjutnya kami minta pembayaran via cod  ngtd 🖕🏻
"kecewa, pesan obat ga ada di apotik sekitar,nunggu 3 hri baru sampe, keburu sakit orangnya.. harusnya banyakin kerjasama dg provider apotik",kecewa  pesan obat ga ada di apotik sekitar nunggu   hri baru sampe  keburu sakit orangnya   harusnya banyakin kerjasama dg provider apotik
Status pesana terkirim tapi kenyataanya saya belum menerima aplikasih tidak amanah. Saya sudah telpon pusan bantuan selama 2x24 jam pemersalahan belum teratasi. Makan itu uang haram,status pesana terkirim tapi kenyataanya saya belum menerima aplikasih tidak amanah  saya sudah telpon pusan bantuan selama  x  jam pemersalahan belum teratasi  makan itu uang haram
Pesan instan berharap 60 menit dikirim malah diberikan ke toko yang tutup. Alhasil menunggu lebih dari 24 jam dan sudah jauh sekali melewati estimasi waktunya padahal obat butuhnya urgent. Percuma bayar mahal kalau penanganannya jelek begini. Chat di fotur aplikasi malah dibalas oleh auto bot. Sangat tidak layak pelayanan Chat serta pemilihan apoteknya.,pesan instan berharap   menit dikirim malah diberikan ke toko yang tutup  alhasil menunggu lebih dari   jam dan sudah jauh sekali melewati estimasi waktunya padahal obat butuhnya urgent  percuma bayar mahal kalau penanganannya jelek begini  chat di fotur aplikasi malah dibalas oleh auto bot  sangat tidak layak pelayanan chat serta pemilihan apoteknya 
"kenapa saya tdk dapat login akun ,keterangan jaringan internet tdk ada atau anda telah login sebanyak 4kali padahal saya baru 1 kali itupun g bisa masuk",kenapa saya tdk dapat login akun  keterangan jaringan internet tdk ada atau anda telah login sebanyak  kali padahal saya baru   kali itupun g bisa masuk
"Cari RS terdekat tidak bisa, GPS error, pesan obat susah. Aplikasi bodoh. Mebding pake aplikasi Alodokter yang warna biru.",cari rs terdekat tidak bisa  gps error  pesan obat susah  aplikasi bodoh  mebding pake aplikasi alodokter yang warna biru 
"Sangat disayangkan, sudah berbayar tapi tidak bisa minta resep puyer. Resep obat kayak terjemahan google",sangat disayangkan  sudah berbayar tapi tidak bisa minta resep puyer  resep obat kayak terjemahan google
"Bintang 1 dulu Pesanan saya tidak dikirim kealamat tertera status kurir sudah berhasil dikirim. Id tiket 3396285 Untung Pesanan saya cuma vitamin, Namun Bagaimana jika obat dan kurir asal kirim, coba contact penerima pun tidak",bintang   dulu pesanan saya tidak dikirim kealamat tertera status kurir sudah berhasil dikirim  id tiket   untung pesanan saya cuma vitamin  namun bagaimana jika obat dan kurir asal kirim  coba contact penerima pun tidak
"Kecewa banget. Jadwal konsultasi hari ini. Tp dibuka tidak bisa. Padahal kuota masih banyak, baru beli. Bukan apa apa saya sudah sabar nunggu jadwal.",kecewa banget  jadwal konsultasi hari ini  tp dibuka tidak bisa  padahal kuota masih banyak  baru beli  bukan apa apa saya sudah sabar nunggu jadwal 
Kenapa ya udah melakukan transaksi belum sempet komunikasi udah selesai aja obrolannya,kenapa ya udah melakukan transaksi belum sempet komunikasi udah selesai aja obrolannya
Apotik tutup tapi tombol pembatalan pesaman tidak ada. Saya malah dikasi driver baru 3x. Keempat driver itu yg cancel sendiri karena dari saya tidak bisa cancel. Saya hubungi customer service pun responnya lama. Padahal tinggal batalkan saja pesanan saya. Malah harusnya kan tidak bisa pesan kalau apotik tutup.,apotik tutup tapi tombol pembatalan pesaman tidak ada  saya malah dikasi driver baru  x  keempat driver itu yg cancel sendiri karena dari saya tidak bisa cancel  saya hubungi customer service pun responnya lama  padahal tinggal batalkan saja pesanan saya  malah harusnya kan tidak bisa pesan kalau apotik tutup 
"tolong kak, diperhatikan kadang saya liat dimaps dalam pengiriman driver suka mampir mampir di tempat lain.",tolong kak  diperhatikan kadang saya liat dimaps dalam pengiriman driver suka mampir mampir di tempat lain 
"Pelayanan toko kesehatan tidak profesional, barang yg dikirim kurang, pesan 5 dikirim 3, komplain tidak segera diberikan solusi, melalui email dikembalikan ke CS, CS balik lagi akan dihubungi via email, padahal kami butuh obat secepatnya. Tidak recommended Sebaiknya beli obat di toko online lain saja lebih terpercaya.",pelayanan toko kesehatan tidak profesional  barang yg dikirim kurang  pesan   dikirim    komplain tidak segera diberikan solusi  melalui email dikembalikan ke cs  cs balik lagi akan dihubungi via email  padahal kami butuh obat secepatnya  tidak recommended sebaiknya beli obat di toko online lain saja lebih terpercaya 
"kode baru malah di anggap tidak berlaku blokk,",kode baru malah di anggap tidak berlaku blokk 
Saya rugi donlod halodoc ini saya mau chat dokter hewan malah bayar dulu bukan tanya malah bayar kalo app ini pembayaran nya cod ku kasih lah aku mana tau gopay aku kelas 6 sd nyawa lebih penting bos emang dokter gak punya hati kura kura brazil saya lemas untung ada orang rumah saya tidak bisa pakai gopay,saya rugi donlod halodoc ini saya mau chat dokter hewan malah bayar dulu bukan tanya malah bayar kalo app ini pembayaran nya cod ku kasih lah aku mana tau gopay aku kelas   sd nyawa lebih penting bos emang dokter gak punya hati kura kura brazil saya lemas untung ada orang rumah saya tidak bisa pakai gopay
Chat dokter hewannya kurang bagus udah mahal dokternya buat burung kolongan kaga sembuh ..lebih bagus liat YouTube dari pada halo doc hewan..kurang sembuh dari halo dok untuk dokter hewan buat kesayangan burung dara kolongan ternyata ga sembuh,chat dokter hewannya kurang bagus udah mahal dokternya buat burung kolongan kaga sembuh   lebih bagus liat youtube dari pada halo doc hewan  kurang sembuh dari halo dok untuk dokter hewan buat kesayangan burung dara kolongan ternyata ga sembuh
"Pesan obat ga datang datang, eh dibatalkan saldonya malah masuk ke aplikasi Halodoc ga ke mbangking, aneh",pesan obat ga datang datang  eh dibatalkan saldonya malah masuk ke aplikasi halodoc ga ke mbangking  aneh
Daftar udah 2 nomor tetap gak ada ferivikasi masuk ribet+lelet banget ya gak rekomen aplikasi rusak,daftar udah   nomor tetap gak ada ferivikasi masuk ribet lelet banget ya gak rekomen aplikasi rusak
"kenapa ya kok gak bisa pakai semua voucher, bisanya diskonsp2023",kenapa ya kok gak bisa pakai semua voucher  bisanya diskonsp 
"sering terkendala dengan ketersediaan stok obat. Dan tidak memikirkan kondisi kurir driver. Pengiriman obat saya 2 jam belum sampai juga, setelah di cek, ternyata di kirim dari bekasi. Bayangin aja ngirim dari bekasi ke Karawang cm di kenakan ongkos kirim Rp 22.500. Kenapa gak di kirim dari apotek terdekat?? Padahal di daerah karawang banyak apotek yg bekerjasama dengan halodoc",sering terkendala dengan ketersediaan stok obat  dan tidak memikirkan kondisi kurir driver  pengiriman obat saya   jam belum sampai juga  setelah di cek  ternyata di kirim dari bekasi  bayangin aja ngirim dari bekasi ke karawang cm di kenakan ongkos kirim rp      kenapa gak di kirim dari apotek terdekat   padahal di daerah karawang banyak apotek yg bekerjasama dengan halodoc
